"KODE","NAMA_REK","TAHUN","SKT","PREFIX"
"410109",Pajak Reklame,2025,,
"41010901",Pajak Reklame Papan/Billboard/Videotron/ Megatron,2025,,
"410109010001",Pajak Reklame Papan/Billboard/Videotron/ Megatron,2025,,
"41010902",Pajak Reklame Kain,2025,,
"410109020001",Pajak Reklame Kain,2025,,
"41010903",Pajak Reklame Melekat/Stiker,2025,,
"410109030001",Pajak Reklame Melekat/Stiker,2025,,
"41010904",Pajak Reklame Selebaran,2025,,
"410109040001",Pajak Reklame Selebaran,2025,,
"41010905",Pajak Reklame Berjalan,2025,,
"410109050001",Pajak Reklame Berjalan,2025,,
"41010906",Pajak Reklame Udara,2025,,
"410109060001",Pajak Reklame Udara,2025,,
"41010907",Pajak Reklame Apung,2025,,
"410109070001",Pajak Reklame Apung,2025,,
"41010908",Pajak Reklame Suara,2025,,
"410109080001",Pajak Reklame Suara,2025,,
"41010909",Pajak Reklame Film/Slide,2025,,
"410109090001",Pajak Reklame Film/Slide,2025,,
"41010910",Pajak Reklame Peragaan,2025,,
"410109100001",Pajak Reklame Peragaan,2025,,
"410110",Pajak Penerangan Jalan,2025,,
"41011001",Pajak Penerangan Jalan Dihasilkan Sendiri,2025,,
"410110010001",Pajak Penerangan Jalan Dihasilkan Sendiri,2025,,
"41011002",Pajak Penerangan Jalan Sumber Lain,2025,,
"410110020001",Pajak Penerangan Jalan Sumber Lain,2025,,
"410111",Pajak Parkir,2025,,
"41011101",Pajak Parkir,2025,,
"410111010001",Pajak Parkir,2025,,
"410112",Pajak Air Tanah,2025,,
"41011201",Pajak Air Tanah,2025,,
"410112010001",Pajak Air Tanah,2025,,
"410113",Pajak Sarang Burung Walet,2025,,
"41011301",Pajak Sarang Burung Walet,2025,,
"410113010001",Pajak Sarang Burung Walet,2025,,
"410114",Pajak Mineral Bukan Logam dan Batuan,2025,,
"41011401",Pajak Asbes,2025,,
"410114010001",Pajak Asbes,2025,,
"41011402",Pajak Batu Tulis,2025,,
"410114020001",Pajak Batu Tulis,2025,,
"41011403",Pajak Batu Setengah Permata,2025,,
"410114030001",Pajak Batu Setengah Permata,2025,,
"41011404",Pajak Batu Kapur,2025,,
"410114040001",Pajak Batu Kapur,2025,,
"41011405",Pajak Batu Apung,2025,,
"410114050001",Pajak Batu Apung,2025,,
"41011406",Pajak Batu Permata,2025,,
"410114060001",Pajak Batu Permata,2025,,
"41011407",Pajak Bentonit,2025,,
"410114070001",Pajak Bentonit,2025,,
"41011408",Pajak Dolomit,2025,,
